epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,3.4696454502573535,3.4657370336523883,0.0022114394359574016,0.0,0.0,0.0
2,3.46573659337035,3.46573639079316,0.0,0.0,0.0,0.0
3,3.4657392809244247,3.465736375007455,0.0,0.0,0.0,0.0
4,3.4649196674219334,3.455705217030495,0.0,0.0,0.0,0.0
5,3.4279245594087526,3.4229541712155624,2.075384260356113e-05,0.0,0.0,0.0
6,3.3830896713637753,3.3791826680370662,0.3099427687501739,0.0,0.3489317052904103,0.0
7,3.3624670015511673,3.3397446963340722,0.42000297653895663,0.0,0.5304257409954587,0.0
8,3.3316476142816733,3.320287343029562,0.5714444576507511,0.0,0.6190683962922309,0.0
9,3.3185480653343995,3.314148268743193,0.6319959447897082,0.0,0.6706332301283263,0.0
10,3.310113091984248,3.308931640838379,0.685072779253799,0.0,0.6818120367164964,0.0
11,3.3039879011865154,3.3048470140047814,0.7151425680503316,0.0,0.7123497918890953,0.0
12,3.299695226906921,3.3039156470668916,0.7351108789209211,0.0,0.7347541932746116,0.0
13,3.2959802053648466,3.298122793572134,0.7587054593503018,0.0,0.748391160026194,0.0
14,3.293402965127757,3.2967740204780616,0.7732027311728472,0.0,0.7650873350931331,0.0
15,3.2907545507618714,3.29582598710169,0.7884377170654036,0.0,0.747864294173859,0.0
16,3.288853191254616,3.2929829315507795,0.8010254329165353,0.0,0.7810817192240612,0.0
17,3.287112208401989,3.2964309481180964,0.8093174509875807,0.0,0.7704358873558167,0.0
18,3.2849033613893748,3.291718414385025,0.8230099740605187,0.0,0.7898931267983644,0.0
19,3.2835445511531782,3.2899180280563494,0.8301845210484148,0.0,0.7883627416039994,0.0
20,3.282281609917519,3.289889902284701,0.8355125678246399,0.0,0.7993235813743176,0.0
21,3.281465590838027,3.2909949054456735,0.8440276342232265,0.0,0.7802833006049663,0.0
22,3.2804544980931616,3.289870766199887,0.8456125602092222,0.0,0.7955784396113138,0.0
23,3.2798245569137596,3.2890030281728806,0.8515503011453234,0.0,0.7985179984364307,0.0
24,3.2790614041205,3.288255769368176,0.8555513760955847,0.0,0.8072109920168669,0.0
25,3.2784940944501515,3.2875703262956173,0.860623271296291,0.0,0.8113171529359672,0.0
26,3.277921367720152,3.287643714038204,0.8635912830209448,0.0,0.8085403412966867,0.0
27,3.277377943361609,3.2873725080054643,0.8650783587414654,0.0,0.823197782493699,0.0
28,3.276707364700399,3.286651288537674,0.8696231116722849,0.0,0.8116744894016799,0.0
29,3.2765136370656562,3.2866476600028607,0.8714718746239504,0.0,0.813766227114277,0.0
30,3.276152251706329,3.287034354797781,0.8735361773388185,0.0,0.8242319770065086,0.0
31,3.2756768377787617,3.2857303526847876,0.877866475142646,0.0,0.8207574025020572,0.0
32,3.2754234503728927,3.286568877903838,0.8813099164055859,0.0,0.8122284934872992,0.0
33,3.2752018242973295,3.2876998594362443,0.8806332825134857,0.0,0.8174987098747554,0.0
34,3.2749218867926477,3.2869411810348024,0.8793447273901185,0.0,0.8179049533456744,0.0
35,3.2745625292047156,3.2869735716684767,0.8832396753471891,0.0,0.8201523926212785,0.0
36,3.274347941273344,3.2861142975010282,0.8841000924040684,0.0,0.8195236365726708,0.0
37,3.274138757920184,3.286088841690865,0.885761803523979,0.0,0.818446994002755,0.0
38,3.273894631856862,3.286158153999886,0.887398095927077,0.0,0.8337652191529905,0.0
39,3.273724828365065,3.2857233895558746,0.8860063527212383,0.0,0.8270561730157039,0.0
40,3.2734868635093477,3.2867855916828868,0.8878994205666221,0.0,0.8202001056917736,0.0
41,3.273213120264968,3.285505411287421,0.8876634666225911,0.0,0.8294133776964786,0.0
42,3.2732778525849424,3.285933204981834,0.8889920914025082,0.0,0.8268664631322707,0.0
43,3.2730703983732177,3.28641331631299,0.8902552070965181,0.0,0.8289513787690839,0.0
44,3.2728342801924764,3.2861516045653114,0.8905961421440413,0.0,0.8178258326489437,0.0
45,3.272727441625923,3.2852358736404,0.890176467052352,0.0,0.8341779524892077,0.0
46,3.272659342091348,3.2855681845042257,0.8910714058730317,0.0,0.8322060972505694,0.0
47,3.2722996915363307,3.2856149025703676,0.8942042987565996,0.0,0.8234540859889973,0.0
48,3.2721938979435015,3.285393128656361,0.8985273973217143,0.0,0.8304892492339835,0.0
49,3.2723226235205263,3.2855480092845553,0.8942893729647615,0.0,0.8297260047945119,0.0
50,3.272234657350467,3.2853912920712336,0.8953240304041752,0.0,0.8254070046489645,0.0
